Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Clientes con cuenta en la entidad;4,00;149,61;Fija;199,93;953,46;Provincia del Neuquén;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Clientes que acrediten sueldos en la entidad;4,00;149,61;Fija;203,90;953,46;Provincia de Córdoba;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM PAQUETE;P PERS UVA CERO KM PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;10,47;Fija;17,96;289,56;Provincia de Río Negro;TASA PREFERENCIAL AL POSEER PAQUETE DEL BANCO. SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Empleados públicos;4,00;149,61;Fija;203,23;953,46;Provincia de La Pampa;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Personas humanas en relación de dependencia;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Empleados públicos;4,00;149,61;Fija;203,90;953,46;Provincia de Córdoba;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Clientes con cuenta en la entidad;4,00;149,61;Fija;203,90;953,46;Provincia de Córdoba;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Clientes con cuenta en la entidad;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Beneficiarios de cuentas de la seguridad social;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Clientes con cuenta en la entidad;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Beneficiarios de cuentas de la seguridad social;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM SIN PAQUETE;PP UVA CERO KM SIN PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;14,94;Fija;19,00;296,47;Ciudad Autónoma de Buenos Aires;SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Personas humanas Monotributistas;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Clientes que acrediten sueldos en la entidad;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Personas humanas en relación de dependencia;4,00;149,61;Fija;203,23;953,46;Provincia de La Pampa;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM SIN PAQUETE;PP UVA CERO KM SIN PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;14,94;Fija;19,13;296,47;Provincia de Buenos Aires;SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM PAQUETE;P PERS UVA CERO KM PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;10,47;Fija;17,96;289,56;Ciudad Autónoma de Buenos Aires;TASA PREFERENCIAL AL POSEER PAQUETE DEL BANCO. SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM PAQUETE;P PERS UVA CERO KM PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;10,47;Fija;13,54;270,23;Provincia de Buenos Aires;TASA PREFERENCIAL AL POSEER PAQUETE DEL BANCO. SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Personas humanas en relación de dependencia;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Personas humanas Responsables Inscriptos;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Empleados públicos;4,00;149,61;Fija;203,90;953,46;Provincia de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL UVA VEHIC CERO KM PAQUETE;P PERS UVA CERO KM PAQ;UVA;700000;1;48;32240;0;83;25,00;Todos los beneficiarios;3,00;10,47;Fija;13,54;270,23;Provincia de Córdoba;TASA PREFERENCIAL AL POSEER PAQUETE DEL BANCO. SUJETO APTO S POLITICA VIGENTE DEL BANCO, TENER CAJA DE AHORRO, CTA SUELDO O JUBILADO Y FACTURA PROFORMA DE CONCESIONARIO OFICIAL. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION. INGRESO MINIMO CUATRO SMVM
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Clientes que acrediten sueldos en la entidad;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Personas humanas Monotributistas;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;5000;12;83;30,00;Empleados públicos;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
93;BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA;2019-12-06;PRESTAMO PERSONAL;PREST PERS;Pesos;500000;2000;60;15000;24;83;30,00;Personas humanas Responsables Inscriptos;4,00;149,61;Fija;203,23;953,46;Ciudad Autónoma de Buenos Aires;EL CARGO MAXIMO POR CANCELACION ANTICIPADA TIENE UN MINIMO DE DOSCIENTOS CUARENTA Y DOS PESOS Y UN MAXIMO DE DOS MIL CUATROCIENTOS VEINTE PESOS. EL CFT INCLUYE IVA E IMPUESTO A LOS SELLOS SEGUN JURISDICCION.
94;BANCO DE CORRIENTES S.A.;2019-12-06;LINEA DE PRESTAMOS PERSONALES PARA ASALARIADOS Y JUBILADOS;ASALARIADOS;Pesos;500000;10000;60;5000;6;64;45,00;Clientes que acrediten sueldos en la entidad;3,00;84,82;Fija;109,46;652,86;Todo el territorio nacional;
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES;D70;Pesos;500000;1;72;12938;3;100;30,00;Todos los beneficiarios;4,24;117,02;Fija;153,81;802,39;Provincia del Neuquén;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D66 ADELANTO DE HABERES;D66;Pesos;6000;1500;1;12938;3;100;20,00;Clientes que acrediten sueldos en la entidad;,00;127,42;Fija;168,41;10845,34;Ciudad Autónoma de Buenos Aires;0
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES - CANALES ELECTRONICOS;D70;Pesos;250000;1;72;12938;3;100;30,00;Clientes que acrediten sueldos en la entidad;4,24;112,98;Fija;148,18;783,12;Provincia del Neuquén;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES - CANALES ELECTRONICOS;D70;Pesos;250000;1;72;12938;3;100;30,00;Clientes que acrediten sueldos en la entidad;4,24;112,98;Fija;148,18;783,12;Ciudad Autónoma de Buenos Aires;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES;D70;Pesos;500000;1;72;12938;3;100;30,00;Todos los beneficiarios;4,24;117,02;Fija;153,81;802,39;Ciudad Autónoma de Buenos Aires;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D69 PRESTAMO PARA LA ADQUISICION DE MOTOS Y EMBARCACIONES;D69;Pesos;500000;1;48;75000;3;100;30,00;Todos los beneficiarios;4,24;79,62;Fija;102,42;651,02;Provincia de Río Negro;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES - CANALES ELECTRONICOS;D70;Pesos;250000;1;72;12938;3;100;30,00;Clientes que acrediten sueldos en la entidad;4,24;112,98;Fija;148,18;783,12;Provincia de Río Negro;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D70 PRESTAMOS PERSONALES;D70;Pesos;500000;1;72;12938;3;100;30,00;Todos los beneficiarios;4,24;117,02;Fija;153,81;802,39;Provincia de Río Negro;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D69 PRESTAMO PARA LA ADQUISICION DE MOTOS Y EMBARCACIONES;D69;Pesos;500000;1;48;75000;3;100;30,00;Todos los beneficiarios;4,24;79,62;Fija;102,42;651,02;Provincia del Neuquén;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D66 ADELANTO DE HABERES;D66;Pesos;6000;1500;1;12938;3;100;20,00;Clientes que acrediten sueldos en la entidad;,00;127,42;Fija;168,41;10845,34;Provincia de Río Negro;0
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D66 ADELANTO DE HABERES;D66;Pesos;6000;1500;1;12938;3;100;20,00;Clientes que acrediten sueldos en la entidad;,00;127,42;Fija;168,41;10845,34;Provincia del Neuquén;0
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2019-11-05;D69 PRESTAMO PARA LA ADQUISICION DE MOTOS Y EMBARCACIONES;D69;Pesos;500000;1;48;75000;3;100;30,00;Todos los beneficiarios;4,24;79,62;Fija;102,42;651,02;Ciudad Autónoma de Buenos Aires;TRANSCURRIDOS 180 DIAS CORRIDOS DESDE EL OTORGAMIENTO DEL PRESTAMO, NO SE PERCIBIRA CARGO POR CANCELACION ANTICIPADA
143;BRUBANK S.A.U.;2019-10-31;PRESTAMO PERSONAL;PRESTAMO PERSONAL;Pesos;500000;10;24;13500;0;80;30,00;Todos los beneficiarios;,00;173,78;Fija;234,83;1091,86;Todo el territorio nacional;                                                                                                                                                                                                                                                                                                                                                                                                               
150;HSBC BANK ARGENTINA S.A.;2019-11-28;PRESTAMOS PERSONALES HSBC;PRESTAMO PERSONAL;Pesos;1000000;1000;60;20000;3;75;30,00;Clientes con cuenta en la entidad;3,00;121,12;Fija;159,68;838,40;Todo el territorio nacional;CANCELACION ANTICIPADA PARCIAL LA COMISION ES DEL 3 POR CIENTO MAS IVA SOBRE MONTO A CANCELAR. EL CLIENTE PODRA OPTAR ENTRE REDUCIR CUOTA O PLAZO. CANCELACION ANTICIPADA TOTAL SE COBRA 3 POR CIENTO SOBRE SALDO DE CAPITAL. NO SE COBRARAN COMISIONES CUANDO AL MOMENTO DE EFECTUAR LA CANCELACION ANTICIPADA TOTAL HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR. 
150;HSBC BANK ARGENTINA S.A.;2019-11-28;PRESTAMOS PERSONALES HSBC;PRESTAMO PERSONAL;Pesos;1000000;1000;60;20000;3;75;30,00;Clientes con cuenta en la entidad;3,00;114,99;Variable;151,09;809,70;Todo el territorio nacional;CANCELACION ANTICIPADA PARCIAL LA COMISION ES DEL 3 POR CIENTO MAS IVA SOBRE MONTO A CANCELAR. EL CLIENTE PODRA OPTAR ENTRE REDUCIR CUOTA O PLAZO. CANCELACION ANTICIPADA TOTAL SE COBRA 3 POR CIENTO SOBRE SALDO DE CAPITAL. NO SE COBRARAN COMISIONES CUANDO AL MOMENTO DE EFECTUAR LA CANCELACION ANTICIPADA TOTAL HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR. TASA DE INTERES BADLAR POR DEPOSITOS A PLAZO FIJO DE 30 A 35 DIAS DE PLAZO DE MAS DE UN MILLON DE PESOS TOTAL BANCOS INFORMANTES PROMEDIO ULTIMOS CINCO DIAS HABILES
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE NUEVA VINCULACION;NUEVA VINCULACION;Pesos;350000;3000;48;30000;24;100;30,00;Empleados públicos;2,00;84,82;Fija;109,45;676,91;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE CALIFICACION A ;CALIFICACION A;Pesos;800000;3000;60;50000;24;100;35,00;Clientes con cuenta en la entidad;2,00;76,23;Fija;97,84;607,88;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE CALIFICACION A ;CALIFICACION A;Pesos;800000;3000;60;50000;24;100;35,00;Personas humanas Responsables Inscriptos;2,00;76,23;Fija;97,84;607,88;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA JUBILADOS Y PENSIONADOS ANSES CON DE DESCUENTO DE HABERES ;JUBILADOS Y PENSIONADOS;Pesos;60000;5000;40;2500;0;82;30,00;Beneficiarios de cuentas de la seguridad social;,00;69,61;Fija;83,26;646,73;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE CALIFICACION A ;CALIFICACION A;Pesos;800000;3000;60;50000;24;100;35,00;Personas humanas en relación de dependencia;2,00;76,23;Fija;97,84;607,88;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE NUEVA VINCULACION;NUEVA VINCULACION;Pesos;350000;3000;48;30000;24;100;30,00;Personas humanas en relación de dependencia;2,00;84,82;Fija;109,45;676,91;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE NUEVA VINCULACION;NUEVA VINCULACION;Pesos;350000;3000;48;30000;36;100;30,00;Personas humanas Monotributistas;2,00;84,82;Fija;109,45;676,91;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE CALIFICACION A ;CALIFICACION A;Pesos;800000;3000;60;50000;24;100;35,00;Personas humanas Monotributistas;2,00;76,23;Fija;97,84;607,88;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASALARIADOS;ASALARIADOS;Pesos;700000;3000;60;20000;24;100;30,00;Clientes que acrediten sueldos en la entidad;2,00;83,07;Fija;107,08;643,81;Todo el territorio nacional;
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2019-11-05;LINEA ASOCIADOS DE NUEVA VINCULACION;NUEVA VINCULACION;Pesos;350000;3000;48;30000;36;100;30,00;Personas humanas Responsables Inscriptos;2,00;84,82;Fija;109,45;676,91;Todo el territorio nacional;
247;BANCO ROELA S.A.;2019-01-22;CREDITO SIMPLE - CLIENTES;CREDITO SIMPLE - CLIENTES;Pesos;300000;1;36;10500;12;70;35,00;Clientes que acrediten sueldos en la entidad;5,00;117,02;Fija;153,81;849,61;Provincia de Córdoba;
247;BANCO ROELA S.A.;2019-01-22;CREDITO SIMPLE - CLIENTES;CREDITO SIMPLE - CLIENTES;Pesos;300000;1;36;10500;12;70;35,00;Personas humanas Responsables Inscriptos;5,00;117,02;Fija;153,81;849,61;Ciudad Autónoma de Buenos Aires;
247;BANCO ROELA S.A.;2019-01-22;CREDITO SIMPLE - CLIENTES;CREDITO SIMPLE - CLIENTES;Pesos;300000;1;36;10500;12;70;35,00;Clientes con cuenta en la entidad;5,00;117,02;Fija;153,81;849,61;Ciudad Autónoma de Buenos Aires;
247;BANCO ROELA S.A.;2019-01-22;CREDITO SIMPLE - CLIENTES;CREDITO SIMPLE - CLIENTES;Pesos;300000;1;36;10500;12;70;35,00;Clientes con cuenta en la entidad;5,00;117,02;Fija;153,81;849,61;Provincia de Córdoba;
